City,Country,Latitude,Longitude,Cloudiness %,Humidity %,Temperature,Wind Speed (mph)
punta arenas,PH,8.99,125.34,12,84,77.76,6.38
mataura,NZ,-46.19,168.86,98,92,34.0,8.01
key west,US,32.73,-101.8,75,46,71.6,12.75
ribeira grande,ES,42.75,-8.44,20,63,65.37,10.29
butaritari,KI,3.07,172.79,97,78,82.09,12.3
east london,IS,65.0,-15.0,75,62,53.6,18.34
mayskiy,RU,47.69,40.1,20,33,77.0,29.08
kieta,PG,-6.22,155.63,100,78,78.71,5.93
georgetown,MY,5.41,100.34,20,78,81.36,2.84
cabo san lucas,BR,-8.28,-35.03,40,58,84.2,13.87
hofn,IS,64.25,-15.21,90,93,48.2,17.22
vila velha,PT,42.03,-8.16,8,61,66.99,8.01
lakeside,US,30.13,-81.77,75,83,81.5,3.36
shubarshi,KZ,48.59,57.19,0,39,54.79,7.02
wajima,JP,37.4,136.9,69,78,66.76,17.98
westport,US,41.14,-73.36,90,88,70.32,6.93
luanda,AO,-8.84,13.23,17,76,75.02,13.29
busselton,AU,-33.65,115.33,100,80,55.58,8.57
mys shmidta,RU,62.06,48.62,92,84,52.68,4.45
nikolskoye,RU,59.7,30.79,0,59,65.71,8.95
moron,AR,-34.65,-58.62,92,91,58.01,8.01
ushuaia,AR,-54.8,-68.3,75,69,39.2,8.03
antofagasta,CL,-23.65,-70.4,75,67,59.0,9.17
puerto ayora,ES,36.59,-6.23,20,60,78.4,16.11
bluff,NZ,-46.6,168.33,97,92,34.0,8.01
evensk,RU,61.95,159.23,79,89,44.2,6.78
ilulissat,GL,69.22,-51.1,92,69,33.8,8.05
ancud,CL,-41.87,-73.82,64,69,57.99,1.01
mtambile,TZ,-5.38,39.7,45,78,78.78,9.33
rikitea,PF,-23.12,-134.97,0,83,73.92,11.72
shache,CN,38.42,77.24,1,29,62.96,10.04
margate,GB,51.38,1.39,100,86,56.35,5.01
bethel,US,41.37,-73.41,90,83,69.03,4.7
tura,IN,25.52,90.22,100,97,74.1,3.11
yar-sale,RU,66.83,70.83,64,69,42.67,19.26
lebu,CL,-37.62,-73.65,0,73,53.17,9.62
haines junction,US,59.23,-135.44,90,87,50.0,8.05
warin chamrap,DE,53.8,11.7,100,96,52.0,4.0
vaini,TO,-21.2,-175.2,75,88,71.6,5.82
saint-philippe,RE,-21.36,55.77,90,57,69.62,10.29
ivanteyevka,RU,55.97,37.92,41,38,60.8,15.66
hovd,MN,48.01,91.64,100,57,42.35,1.68
lompoc,US,34.64,-120.46,1,93,52.97,2.44
port alfred,CD,-7.03,29.76,57,43,86.2,2.62
grand river south east,US,38.88,-109.5,1,36,59.58,12.75
kruisfontein,ZA,-34.0,24.73,1,50,60.01,7.0
lae,PG,-6.72,146.98,65,74,76.84,3.56
inuvik,CA,68.35,-133.72,90,98,32.0,5.82
hilo,US,19.73,-155.09,1,68,67.87,5.82
saskylakh,RU,71.92,114.08,97,85,38.52,10.31
gomel,BY,52.43,30.98,75,63,62.6,15.66
albany,US,42.6,-73.97,74,73,71.94,9.04
kokopo,PG,-4.35,152.26,68,81,77.81,6.98
dikson,RU,73.51,80.55,100,78,36.9,22.28
san patricio,ML,13.3,-4.9,6,35,95.52,5.55
yellowknife,CA,62.46,-114.35,90,100,41.0,4.7
longyearbyen,SJ,78.22,15.64,75,74,33.8,6.93
esperance,AU,-33.87,121.9,90,93,57.2,8.05
yulara,AU,-25.24,130.99,93,11,78.8,12.75
half moon bay,LR,6.38,-10.7,75,83,82.4,8.05
qaanaaq,GL,77.48,-69.36,0,78,13.32,7.47
kapaa,US,22.08,-159.32,90,74,74.39,11.41
harper,LR,4.38,-7.72,24,77,80.62,10.69
shelburne,CA,44.08,-80.2,20,73,70.61,12.75
hargeysa,SO,9.56,44.06,91,51,80.19,15.5
cape town,CL,-36.41,-71.9,20,81,51.8,9.17
cherskiy,RU,68.75,161.3,100,80,36.46,17.78
pozo colorado,CU,22.45,-80.18,20,83,80.6,2.24
lagoa,PT,39.05,-27.98,0,88,70.86,6.11
kunya,NG,12.22,8.53,5,28,94.98,2.89
hobart,AU,-42.88,147.33,40,65,46.67,9.17
hithadhoo,MV,-0.6,73.08,42,66,83.1,3.47
lasa,IT,46.62,10.7,40,65,49.51,8.05
tecoanapa,MX,16.52,-98.75,100,76,81.1,2.95
lebanon,US,36.21,-86.29,1,83,72.48,12.75
mahebourg,MU,-20.41,57.7,75,78,73.4,11.41
upernavik,GL,72.79,-56.15,83,92,28.27,9.17
waddan,LY,29.16,16.14,17,8,104.56,15.08
caldwell,US,43.66,-116.69,1,75,45.03,3.36
kuusamo,FI,65.97,29.18,90,93,42.8,9.17
comodoro rivadavia,BR,-13.66,-59.79,0,35,92.53,5.75
atuona,PF,-9.8,-139.03,4,75,77.56,15.35
jamestown,US,42.1,-79.24,1,88,67.51,13.87
muravlenko,RU,63.79,74.52,75,92,48.49,18.05
ngunguru,NZ,-35.62,174.5,0,87,57.0,10.0
saldanha,ZA,-33.01,17.94,71,44,60.8,8.05
port hardy,CD,-7.03,29.76,57,43,86.2,2.62
santiago del estero,CL,-33.46,-70.65,0,54,59.5,4.7
begun,IN,24.98,75.0,85,62,79.07,5.97
katherine,AU,-14.47,132.27,99,18,87.8,11.41
fairbanks,US,64.84,-147.72,1,93,36.28,8.05
vryheid,ZA,-27.77,30.79,100,84,54.9,10.49
sao felix do xingu,IN,20.51,76.21,99,87,72.99,4.32
victoria,HK,22.29,114.16,100,79,81.61,18.52
barrow,US,71.29,-156.79,90,92,30.2,6.93
hasaki,JP,35.73,140.83,75,100,63.16,1.12
hermanus,ZA,-34.42,19.23,22,61,59.0,4.0
khatanga,RU,71.97,102.5,79,90,33.08,16.87
carnarvon,AU,-24.87,113.63,0,64,68.0,19.46
iqaluit,CA,63.75,-68.51,90,74,30.09,8.05
kodiak,US,57.79,-152.41,90,81,48.2,32.21
sabha,LY,27.04,14.43,0,9,101.97,8.1
svetlogorsk,BY,52.63,29.73,100,65,61.57,11.07
safaga,EG,26.73,33.94,0,30,96.8,8.05
thompson,CA,55.74,-97.86,90,93,42.8,8.05
atambua,ID,-9.11,124.89,24,84,72.52,4.81
orchard homes,CA,43.4,-79.79,100,72,73.81,3.0
mar del plata,ES,43.4,-4.01,75,55,62.44,11.41
indianola,US,41.36,-93.56,90,72,61.41,9.17
ponta do sol,PT,38.73,-28.27,20,73,75.2,5.82
corrales,US,35.24,-106.61,95,34,64.51,5.77
tasiilaq,GL,65.61,-37.64,91,93,37.4,4.7
bredasdorp,ZA,-34.53,20.04,65,54,57.2,10.29
hun,LY,29.13,15.95,35,8,104.92,15.7
new norfolk,LR,6.65,-10.59,75,83,82.4,8.05
san andres,ML,13.3,-4.9,6,35,95.52,5.55
